iter	Passed	Remaining
0	144	144696
1	147	73437
2	149	49529
3	150	37365
4	151	30067
5	152	25188
6	153	21718
7	154	19127
8	155	17124
9	156	15505
10	157	14188
11	158	13080
12	159	12137
13	161	11380
14	162	10702
15	164	10110
16	165	9576
17	166	9101
18	168	8678
19	169	8308
20	171	7978
21	172	7658
22	173	7365
23	174	7098
24	177	6930
25	181	6817
26	183	6604
27	184	6406
28	185	6223
29	187	6054
30	188	5896
31	189	5745
32	191	5605
33	192	5472
34	194	5349
35	195	5228
36	196	5121
37	198	5014
38	199	4906
39	200	4804
40	201	4707
41	205	4683
42	207	4608
43	208	4528
44	209	4452
45	211	4378
46	212	4305
47	213	4236
48	214	4169
49	215	4103
50	218	4072
51	220	4028
52	222	3973
53	223	3917
54	224	3864
55	226	3813
56	227	3769
57	229	3723
58	230	3681
59	232	3639
60	233	3594
61	234	3550
62	235	3508
63	237	3466
64	238	3427
65	239	3390
66	240	3353
67	242	3317
68	243	3282
69	244	3248
70	245	3213
71	246	3180
72	247	3147
73	248	3114
74	249	3082
75	251	3054
76	252	3026
77	253	2998
78	254	2971
79	255	2943
80	257	2916
81	257	2888
82	258	2857
83	259	2833
84	260	2809
85	262	2790
86	264	2771
87	265	2748
88	266	2727
89	267	2706
90	269	2687
91	270	2668
92	271	2649
93	273	2632
94	274	2612
95	275	2592
96	276	2573
97	277	2555
98	278	2537
99	279	2518
100	280	2500
101	282	2483
102	283	2469
103	285	2461
104	287	2447
105	288	2434
106	290	2423
107	292	2416
108	294	2403
109	295	2389
110	296	2376
111	298	2363
112	299	2349
113	300	2336
114	301	2324
115	303	2311
116	304	2297
117	305	2286
118	307	2275
119	309	2266
120	310	2255
121	311	2241
122	312	2230
123	314	2218
124	315	2205
125	316	2194
126	317	2181
127	318	2172
128	320	2160
129	321	2150
130	322	2141
131	324	2131
132	325	2123
133	326	2113
134	328	2102
135	329	2092
136	330	2081
137	331	2070
138	332	2059
139	333	2047
140	334	2036
141	335	2024
142	336	2014
143	337	2007
144	338	1998
145	340	1989
146	341	1979
147	342	1970
148	343	1961
149	344	1954
150	345	1945
151	347	1937
152	348	1928
153	349	1920
154	350	1911
155	351	1903
156	352	1895
157	354	1887
158	355	1880
159	356	1872
160	357	1862
161	358	1855
162	359	1847
163	361	1840
164	362	1834
165	363	1826
166	364	1818
167	365	1811
168	366	1804
169	368	1797
170	369	1791
171	371	1787
172	372	1781
173	374	1775
174	375	1769
175	377	1765
176	378	1759
177	379	1754
178	381	1749
179	383	1745
180	384	1740
181	386	1736
182	387	1730
183	388	1724
184	390	1719
185	391	1713
186	392	1708
187	394	1702
188	395	1696
189	396	1690
190	397	1685
191	400	1683
192	401	1678
193	402	1672
194	403	1665
195	404	1660
196	406	1655
197	407	1650
198	408	1645
199	409	1639
200	411	1634
201	412	1628
202	413	1623
203	414	1619
204	416	1613
205	417	1607
206	418	1602
207	419	1596
208	420	1591
209	421	1585
210	422	1579
211	423	1573
212	424	1568
213	425	1562
214	426	1557
215	427	1552
216	428	1547
217	430	1543
218	431	1538
219	432	1533
220	433	1528
221	434	1523
222	435	1518
223	436	1513
224	438	1508
225	439	1504
226	440	1500
227	441	1495
228	442	1490
229	444	1487
230	445	1483
231	446	1479
232	447	1474
233	449	1470
234	450	1466
235	451	1462
236	453	1459
237	454	1455
238	455	1451
239	456	1447
240	458	1443
241	459	1440
242	461	1436
243	462	1433
244	463	1429
245	465	1427
246	467	1426
247	469	1423
248	471	1421
249	472	1417
250	474	1415
251	475	1411
252	477	1408
253	478	1405
254	479	1402
255	481	1399
256	482	1395
257	484	1392
258	485	1390
259	487	1387
260	488	1384
261	490	1381
262	492	1378
263	493	1376
264	494	1372
265	496	1368
266	497	1366
267	498	1362
268	500	1358
269	501	1356
270	503	1353
271	504	1350
272	505	1346
273	507	1343
274	508	1340
275	509	1337
276	511	1335
277	513	1333
278	514	1330
279	515	1326
280	516	1322
281	517	1318
282	519	1315
283	520	1311
284	521	1308
285	523	1306
286	525	1304
287	526	1302
288	528	1299
289	529	1296
290	530	1293
291	532	1290
292	533	1288
293	535	1285
294	536	1283
